state,district,2012_winner,2012_party,2012_pct,2014_winner,2014_party,2014_pct,2016_winner,2016_party,2016_pct
Alabama,1,Jo Bonner,R,97.9,Bradley Byrne,R,68.2,Bradley Byrne,R,96
Alabama,2,Martha Roby,R,63.6,Martha Roby,R,67.3,Martha Roby,R,48.8
Alabama,3,Mike Rogers,R,64,Mike Rogers,R,66.1,Mike Rogers,R,67
Alabama,4,Robert Aderholt,R,74,Robert Aderholt,R,98.6,Robert Aderholt,R,98.5
Alabama,5,Mo Brooks,R,64.9,Mo Brooks,R,74.4,Mo Brooks,R,66.7
Alabama,6,Spencer Bachus,R,71.2,Gary Palmer,R,76.2,Gary Palmer,R,74.5
Alabama,7,Terri Sewell,D,75.8,Terri Sewell,D,98.4,Terry Sewell,D,98.4
Alaska,0,Don Young,R,63.9,Don Young,R,51,Don Young,R,50
Arizona,1,Ann Kirkpatrick,D,48.8,Ann Kirkpatrick,D,52.6,Tom O'Halleran,D,50.7
Arizona,2,Ron Barber,D,50.4,Martha McSally,R,50,Martha McSally,R,57
Arizona,3,Raul Grijalva,D,58.4,Raul Grijalva,D,55.7,Raul Grijalva,D,98.6
Arizona,4,Paul Gosar,R,66.8,Paul Gosar,R,70,Paul Gosar,R,71.5
Arizona,5,Matt Salmon,R,67.2,Matt Salmon,R,69.6,Andy Biggs,R,64.1
Arizona,6,David Schweikert,R,61.3,David Schweikert,R,64.9,David Schweikert,R,62.1
Arizona,7,Ed Pastor,D,81.7,Ruben Gallego,D,74.9,Ruben Gallego,D,75.2
Arizona,8,Trent Franks,R,63.3,Trent Franks,R,75.8,Trent Franks,R,68.5
Arizona,9,Kyrsten Sinema,D,48.7,Kyrsten Sinema,D,54.7,Kyrsten Sinema,D,60.9
Arkansas,1,Rick Crawford,R,56.2,Rick Crawford,R,63.3,Rick Crawford,R,76.3
Arkansas,2,Tim Griffin,R,55.2,French Hill,R,51.9,French Hill,R,58.3
Arkansas,3,Steve Womack,R,75.9,Steve Womack,R,79.4,Steven Womack,R,77.3
Arkansas,4,Tom Cotton,R,59.5,Bruce Westerman,R,53.7,Bruce Westerman,R,74.9
California,1,Doug La Malfa,R,57.4,Doug La Malfa,R,61,Doug La Malfa,R,59.1
California,2,Jared Huffman,D,71.2,Jared Huffman,D,75,Jared Huffman,D,76.9
California,3,John Garamendi,D,54.2,John Garamendi,D,52.7,John Garamendi,D,59.4
California,4,Tom McClintock,R,61.1,Tom McClintock,R,60,Tom McClintock,R,62.7
California,5,Mike Thompson,D,74.5,Mike Thompson,D,75.7,Mike Thompson,D,76.9
California,6,Doris Matsui,D,75.1,Doris Matsui,D,72.7,Doris Matsui,D,75.4
California,7,Ami Bera,D,51.7,Ami Bera,D,50.4,Ami Bera,D,51.2
California,8,Paul Cook,R,57.4,Paul Cook,R,67.6,Paul Cook,R,62.3
California,10,Jeff Denham,R,52.7,Jeff Denham,R,56.1,Jeff Denham,R,51.7
