demvote,current,name
66.92%,rep,Alabama1
62.05%,rep,Alabama2
65.93%,rep,Alabama3
78.63%,rep,Alabama4
67.15%,rep,Alabama5
74.19%,rep,Alabama6
26.49%,dem,Alabama7
61.08%,rep,AlaskaAL
47.34%,dem,Arizona1
52.34%,rep,Arizona2
40.89%,dem,Arizona3
71.72%,rep,Arizona4
67.11%,rep,Arizona5
64.08%,rep,Arizona6
29.20%,dem,Arizona7
66.26%,rep,Arizona8
43.56%,dem,Arizona9
64.54%,rep,Arkansas1
58.13%,rep,Arkansas2
71.14%,rep,Arkansas3
59.59%,rep,Arkansas4
59.30%,rep,California1
53.67%,rep,California10
30.47%,dem,California11
14.38%,dem,California12
11.46%,dem,California13
21.32%,dem,California14
29.00%,dem,California15
44.76%,dem,California16
27.23%,dem,California17
30.35%,dem,California18
27.87%,dem,California19
25.79%,dem,California2
28.21%,dem,California20
57.59%,rep,California21
67.31%,rep,California22
70.50%,rep,California23
46.67%,dem,California24
55.26%,rep,California25
45.35%,dem,California26
36.56%,dem,California27
24.52%,dem,California28
22.43%,dem,California29
44.72%,dem,California3
31.67%,dem,California30
49.71%,dem,California31
36.53%,dem,California32
40.29%,dem,California33
15.15%,dem,California34
32.37%,dem,California35
43.76%,dem,California36
13.51%,dem,California37
34.45%,dem,California38
61.34%,rep,California39
62.80%,rep,California4
17.11%,dem,California40
39.96%,dem,California41
61.87%,rep,California42
24.37%,dem,California43
14.04%,dem,California44
60.86%,rep,California45
37.39%,dem,California46
41.39%,dem,California47
61.29%,rep,California48
56.35%,rep,California49
26.16%,dem,California5
67.60%,rep,California50
29.14%,dem,California51
47.05%,dem,California52
37.72%,dem,California53
25.76%,dem,California6
49.07%,dem,California7
63.61%,rep,California8
45.06%,dem,California9
29.40%,dem,Colorado1
41.39%,dem,Colorado2
58.79%,rep,Colorado3
65.82%,rep,Colorado4
63.75%,rep,Colorado5
53.56%,rep,Colorado6
43.51%,dem,Colorado7
33.35%,dem,Connecticut1
33.86%,dem,Connecticut2
29.87%,dem,Connecticut3
42.28%,dem,Connecticut4
45.78%,dem,Connecticut5
38.45%,dem,DelawareAL
69.53%,rep,Florida1
37.24%,dem,Florida10
63.83%,rep,Florida11
61.57%,rep,Florida12
46.78%,dem,Florida13
40.33%,dem,Florida14
55.46%,rep,Florida15
57.36%,rep,Florida16
61.55%,rep,Florida17
53.90%,rep,Florida18
63.63%,rep,Florida19
67.64%,rep,Florida2
18.62%,dem,Florida20
37.79%,dem,Florida21
42.41%,dem,Florida22
40.16%,dem,Florida23
12.14%,dem,Florida24
58.76%,rep,Florida25
50.46%,rep,Florida26
50.97%,rep,Florida27
58.43%,rep,Florida3
69.51%,rep,Florida4
36.11%,dem,Florida5
56.01%,rep,Florida6
49.59%,dem,Florida7
61.96%,rep,Florida8
43.49%,dem,Florida9
61.47%,rep,Georgia1
65.92%,rep,Georgia10
69.58%,rep,Georgia11
54.37%,rep,Georgia12
29.86%,dem,Georgia13
76.73%,rep,Georgia14
38.76%,dem,Georgia2
70.49%,rep,Georgia3
26.87%,dem,Georgia4
16.58%,dem,Georgia5
64.23%,rep,Georgia6
62.79%,rep,Georgia7
67.04%,rep,Georgia8
79.78%,rep,Georgia9
39.31%,dem,Hawaii1
19.30%,dem,Hawaii2
66.94%,rep,Idaho1
65.04%,rep,Idaho2
26.48%,dem,Illinois1
49.50%,dem,Illinois10
42.66%,dem,Illinois11
53.03%,rep,Illinois12
56.32%,rep,Illinois13
61.33%,rep,Illinois14
73.57%,rep,Illinois15
66.78%,rep,Illinois16
43.80%,dem,Illinois17
73.82%,rep,Illinois18
22.98%,dem,Illinois2
34.71%,dem,Illinois3
18.51%,dem,Illinois4
30.74%,dem,Illinois5
62.01%,rep,Illinois6
14.20%,dem,Illinois7
43.89%,dem,Illinois8
33.85%,dem,Illinois9
36.38%,dem,Indiana1
57.81%,rep,Indiana2
71.30%,rep,Indiana3
66.57%,rep,Indiana4
64.46%,rep,Indiana5
68.16%,rep,Indiana6
39.40%,dem,Indiana7
61.77%,rep,Indiana8
59.33%,rep,Indiana9
49.22%,rep,Iowa1
45.83%,dem,Iowa2
55.95%,rep,Iowa3
59.20%,rep,Iowa4
72.69%,rep,Kansas1
61.60%,rep,Kansas2
57.20%,rep,Kansas3
66.88%,rep,Kansas4
71.95%,rep,Kentucky1
69.27%,rep,Kentucky2
35.98%,dem,Kentucky3
67.83%,rep,Kentucky4
79.44%,rep,Kentucky5
57.84%,rep,Kentucky6
79.37%,rep,Louisiana1
20.52%,dem,Louisiana2
80.07%,rep,Louisiana3
66.08%,rep,Louisiana4
68.54%,rep,Louisiana5
70.30%,rep,Louisiana6
37.10%,dem,Maine1
50.00%,rep,Maine2
70.26%,rep,Maryland1
34.77%,dem,Maryland2
35.46%,dem,Maryland3
24.25%,dem,Maryland4
31.72%,dem,Maryland5
43.55%,dem,Maryland6
24.08%,dem,Maryland7
36.62%,dem,Maryland8
35.75%,dem,Massachusetts1
40.53%,dem,Massachusetts2
34.23%,dem,Massachusetts3
36.32%,dem,Massachusetts4
27.20%,dem,Massachusetts5
44.48%,dem,Massachusetts6
16.75%,dem,Massachusetts7
27.92%,dem,Massachusetts8
39.50%,dem,Massachusetts9
54.02%,rep,Michigan1
68.82%,rep,Michigan10
56.22%,rep,Michigan11
31.37%,dem,Michigan12
16.19%,dem,Michigan13
18.61%,dem,Michigan14
65.35%,rep,Michigan2
58.63%,rep,Michigan3
63.53%,rep,Michigan4
33.80%,dem,Michigan5
58.79%,rep,Michigan6
56.73%,rep,Michigan7
58.97%,rep,Michigan8
37.52%,dem,Michigan9
46.06%,dem,Minnesota1
54.85%,rep,Minnesota2
59.22%,rep,Minnesota3
35.44%,dem,Minnesota4
25.15%,dem,Minnesota5
58.73%,rep,Minnesota6
43.41%,dem,Minnesota7
48.33%,dem,Minnesota8
67.92%,rep,Mississippi1
32.66%,dem,Mississippi2
67.92%,rep,Mississippi3
71.22%,rep,Mississippi4
20.90%,dem,Missouri1
63.14%,rep,Missouri2
69.58%,rep,Missouri3
68.80%,rep,Missouri4
41.42%,dem,Missouri5
68.98%,rep,Missouri6
69.25%,rep,Missouri7
74.97%,rep,Missouri8
57.28%,rep,MontanaAL
69.00%,rep,Nebraska1
50.04%,rep,Nebraska2
76.18%,rep,Nebraska3
35.11%,dem,Nevada1
64.41%,rep,Nevada2
55.50%,dem,Nevada3
48.48%,dem,Nevada4
49.84%,dem,New Hampshire1
46.87%,dem,New Hampshire2
36.57%,dem,New Jersey1
12.08%,dem,New Jersey10
60.81%,rep,New Jersey11
33.84%,dem,New Jersey12
60.99%,rep,New Jersey2
56.75%,rep,New Jersey3
66.32%,rep,New Jersey4
53.53%,dem,New Jersey5
36.98%,dem,New Jersey6
58.45%,rep,New Jersey7
19.70%,dem,New Jersey8
28.31%,dem,New Jersey9
39.18%,dem,New Mexico1
62.25%,rep,New Mexico2
37.79%,dem,New Mexico3
53.78%,rep,New York1
21.68%,dem,New York10
57.46%,rep,New York11
18.91%,dem,New York12
7.54%,dem,New York13
17.58%,dem,New York14
4.12%,dem,New York15
24.66%,dem,New York16
39.96%,dem,New York17
47.31%,dem,New York18
57.36%,rep,New York19
63.67%,rep,New York2
34.29%,dem,New York20
59.94%,rep,New York21
58.70%,rep,New York22
57.21%,rep,New York23
55.88%,rep,New York24
45.54%,dem,New York25
27.64%,dem,New York26
63.17%,rep,New York27
44.87%,dem,New York3
40.80%,dem,New York4
12.10%,dem,New York5
31.47%,dem,New York6
9.29%,dem,New York7
10.65%,dem,New York8
13.22%,dem,New York9
30.82%,dem,North Carolina1
61.40%,rep,North Carolina10
62.52%,rep,North Carolina11
32.62%,dem,North Carolina12
55.03%,rep,North Carolina13
56.88%,rep,North Carolina2
63.33%,rep,North Carolina3
33.67%,dem,North Carolina4
58.08%,rep,North Carolina5
58.04%,rep,North Carolina6
58.88%,rep,North Carolina7
57.21%,rep,North Carolina8
57.22%,rep,North Carolina9
63.59%,dem,North DakotaAL
61.15%,rep,Ohio1
65.15%,rep,Ohio10
17.96%,dem,Ohio11
68.01%,rep,Ohio12
30.48%,dem,Ohio13
62.34%,rep,Ohio14
64.73%,rep,Ohio15
60.52%,rep,Ohio16
63.83%,rep,Ohio2
31.89%,dem,Ohio3
